New York Giants,2011,635800,8,79475.0
Houston Texans,2011,571969,8,71496.125
Pittsburgh Steelers,2011,504279,8,63034.875
Denver Broncos,2011,602618,8,75327.25
Dallas Cowboys,2011,684096,8,85512.0
Green Bay Packers,2011,564097,8,70512.125
Miami Dolphins,2011,487089,8,60886.125
Arizona Cardinals,2011,489455,8,61181.875
Minnesota Vikings,2011,502529,8,62816.125
New Orleans Saints,2011,584335,8,73041.875
Tampa Bay Buccaneers,2011,473281,8,59160.125
San Diego Chargers,2011,523143,8,65392.875
Indianapolis Colts,2011,518627,8,64828.375
Baltimore Ravens,2011,569792,8,71224.0
Philadelphia Eagles,2011,553152,8,69144.0
Buffalo Bills,2011,490443,8,61305.375
Seattle Seahawks,2011,531311,8,66413.875
Washington Redskins,2011,615368,8,76921.0
Tennessee Titans,2011,553144,8,69143.0
Detroit Lions,2011,509940,8,63742.5
Cincinnati Bengals,2011,394009,8,49251.125
Denver Broncos,2009,600928,8,75116.0
New England Patriots,2009,550048,8,68756.0
Chicago Bears,2009,498000,8,62250.0
Tampa Bay Buccaneers,2009,525194,8,65649.25
Kansas City Chiefs,2009,540114,8,67514.25
New York Jets,2009,616420,8,77052.5
St. Louis Rams,2009,441901,8,55237.625
Jacksonville Jaguars,2009,397214,8,49651.75
Carolina Panthers,2009,586314,8,73289.25
San Francisco 49ers,2009,557856,8,69732.0
Oakland Raiders,2009,354276,8,44284.5
New York Giants,2009,629615,8,78701.875
Atlanta Falcons,2009,545389,8,68173.625
Houston Texans,2009,564864,8,70608.0
Pittsburgh Steelers,2009,507882,8,63485.25
Dallas Cowboys,2009,718055,8,89756.875
Green Bay Packers,2009,565666,8,70708.25
Miami Dolphins,2009,540342,8,67542.75
Arizona Cardinals,2009,505143,8,63142.875
Minnesota Vikings,2009,510203,8,63775.375
Baltimore Ravens,2009,568660,8,71082.5
Seattle Seahawks,2009,539141,8,67392.625
Indianapolis Colts,2009,532398,8,66549.75
Cleveland Browns,2009,551110,8,68888.75
New Orleans Saints,2009,560840,8,70105.0
Philadelphia Eagles,2009,553152,8,69144.0
Buffalo Bills,2009,542465,8,67808.125
San Diego Chargers,2009,540345,8,67543.125
Washington Redskins,2009,678352,8,84794.0
Tennessee Titans,2009,553144,8,69143.0
Detroit Lions,2009,395162,8,49395.25
Cincinnati Bengals,2009,512032,8,64004.0
Atlanta Falcons,2004,564769,8,70596.125
St. Louis Rams,2004,527384,8,65923.0
New England Patriots,2004,550048,8,68756.0
Chicago Bears,2004,495706,8,61963.25
Cleveland Browns,2004,584840,8,73105.0
Kansas City Chiefs,2004,623010,8,77876.25
Denver Broncos,2004,601031,8,75128.875
New York Jets,2004,623181,8,77897.625
Washington Redskins,2004,702670,8,87833.75
San Francisco 49ers,2004,518271,8,64783.875
Oakland Raiders,2004,405936,8,50742.0
New York Giants,2004,629874,8,78734.25
Houston Texans,2004,565192,8,70649.0
Pittsburgh Steelers,2004,507385,8,63423.125
Jacksonville Jaguars,2004,555464,8,69433.0
Philadelphia Eagles,2004,540870,8,67608.75
Dallas Cowboys,2004,510892,8,63861.5
Green Bay Packers,2004,564400,8,70550.0
Miami Dolphins,2004,580808,8,72601.0
Arizona Cardinals,2004,300267,8,37533.375
Detroit Lions,2004,499162,8,62395.25
New Orleans Saints,2004,513178,8,64147.25
Tampa Bay Buccaneers,2004,522720,8,65340.0
San Diego Chargers,2004,485462,8,60682.75
Indianapolis Colts,2004,456791,8,57098.875
Baltimore Ravens,2004,558594,8,69824.25
